Nombre de la Institución o Empresa,Sector,Entidad Federativa
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE HUMANIDADES / ESCUELA NACIONAL DE TRABAJO SOCIAL,SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"FUNDACION ICA, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"BIOCÓRIMA, A. C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,COAHUILA
UNIVERSIDAD TECNOLOGICA DE LA MIXTECA,SERVICIOS EDUCATIVOS,OAXACA
COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO DE TLAXCALA,SERVICIOS EDUCATIVOS,TLAXCALA
INSTITUTO TECNOLÓGICO SUPERIOR DE MACUSPANA,SERVICIOS EDUCATIVOS,TABASCO
CUPROSA S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
GRUPO AALBORG S.A. DE C.V.,CONSTRUCCION,COLIMA
"RED SOCIAL FUERZA POLITECNICA, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
CONSULTORIA Y SOLUCIONES TOTALES EN INFORMATICA SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CORPORATIVO OPEDECA, S.C.",SERVICIOS EDUCATIVOS,AGUASCALIENTES
TECNO TRUCK SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,HIDALGO
GREEN ELASTOMERS S.A.P.I. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
JFE LOGISTIC S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
UNIVERSIDAD PEDAGOGICA NACIONAL,SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
CORPORATIVO DAYLIGHT INTELLIGENCE S.DE R.L,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
TRANSFORMACION Y PRODUCCION ESPECIALIZADA S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",GUANAJUATO
UNIVERSIDAD MICHOACANA DE SAN NICOLAS DE HIDALGO,SERVICIOS EDUCATIVOS,MICHOACAN 
INVERNAY SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,DISTRITO FEDERAL
NUTRIBEAUTY-LAB S. R.L. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",DISTRITO FEDERAL
COMITÉ MEXICANO DE INFORMÁTICA A. C.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,ESTADO DE MEXICO
"ACADEMIA NACIONAL DE INVESTIGACION Y DESARROLLO, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
UNIVERSIDAD POLITÉCNICA DE TAPACHULA,SERVICIOS EDUCATIVOS,CHIAPAS
TECNOLÓGICO NACIONAL DE MÉXICO / INSTITUTO TECNOLÓGICO DE ORIZABA,SERVICIOS EDUCATIVOS,VERACRUZ
RESIDUOS INDUSTRIALES MULTIQUIM SA DE CV,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,NUEVO LEON 
RUSH MAQUINADOS S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,SAN LUIS POTOSI
BUKASA BIENES RAÍCES SA DE CV,SERVICIOS INMOBILIARIOS Y DE ALQUILER DE BIENES MUEBLES E INTANGIBLES,DISTRITO FEDERAL
UNIVERSIDAD DEL MAR,SERVICIOS EDUCATIVOS,OAXACA
UNIVERSIDAD AUTONOMA DEL ESTADO DE HIDALGO / CENTRO DE INVESTIGACIÓN EN CIENCIAS Y DESARROLLO DE LA EDUCACIÓN,SERVICIOS EDUCATIVOS,HIDALGO
TOC TECHNOLOGY OUTSOURCING CENTER S.A. DE C.V.,INFORMACION EN MEDIOS MASIVOS,VERACRUZ
LABORATORIO AGRÍCOLA DIAGNOSIS S.C.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,MICHOACAN 
UNIVERSIDAD TECNOLÓGICA DE LA RIVIERA MAYA,SERVICIOS EDUCATIVOS,QUINTANA ROO
UNIVERSIDAD TECNOLÓGICA DE SALTILLO,SERVICIOS EDUCATIVOS,COAHUILA
CENTRO DE EMPRENDIMIENTO E INNOVACION TECNOLOGICA A.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
"PANEL REY, S.A.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",NUEVO LEON 
ROYAL REGENCY SEED S.A. DE C.V.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,NUEVO LEON 
"CENTROS CULTURALES, S.C.",SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"UNIDAD DE INNOVACIÓN BIOMÉDICA, A.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,NUEVO LEON 
CONFECCIONES E INNOVACIÓN TEXTIL S. DE R. L. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
"CAPITAL INTELECTUAL SOCIAL, A.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CHIHUAHUA
"INSTITUTO EDUCATIVO DE MEXICALI, A.C.",SERVICIOS EDUCATIVOS,BAJA CALIFORNIA
GOBIERNO DEL ESTADO DE SINALOA / MUNICIPIO DE CULIACÁN / H.AYUNTAMIENTO DE CULIACAN,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,SINALOA
RED DE ATENCIÓN Y PROMOCIÓN DE SALUD MENTAL Y CONTRA LAS ADICCIONES DEL ESTADO DE DURANGO A.C.,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DURANGO
MAQUINADOS MAG S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,TAMAULIPAS
"SOCIEDAD MEXICANA DE MATERIALES, A.C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
"SOCIEDAD MEXICANA DE FISICA, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
MAYA BACAB S.P.R DE R.L,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,QUINTANA ROO
DESARROLLO HUMANO DE JALISCO SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
"GRUPO ABASTECEDOR REYCO, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,JALISCO
GRUPO DE INNOVACION TECNOLOGICA Y EMPRESARIAL DE TIJUANA S A P I DE C V,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
"SERVICIOS Y MONTAJES DE TECNOLOGIA EN COMUNICACIÓN Y OBRA CIVIL, S.A. DE C.V.",CONSTRUCCION,VERACRUZ
INGENIERIA EN EMPAQUE DURAN SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
COMITE SISTEMA PRODUCTO PELAGICOS MENORES DE BAJA CALIFORNIA AC,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,BAJA CALIFORNIA
"DITIBARU, S.A DE C.V",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA
ENERGIA SONORA PPE,ELECTRICIDAD AGUA Y SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL,SONORA
"DE LA CRUZ, TRUJILLO CONSULTORES SC",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SONORA
"AUMA, S.A. DE C.V.",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,CHIHUAHUA
MAQUINADOS CALINOVO S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
"GLOBAL BIOANALYTICAL CONSULTING, S.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CENTROS DE INTEGRACION JUVENIL DISTRITO FEDERAL, A.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
QUIMIR SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",ESTADO DE MEXICO
TECNOLÓGICO NACIONAL DE MÉXICO / INSTITUTO TECNOLÓGICO DE TOLUCA,SERVICIOS EDUCATIVOS,ESTADO DE MEXICO
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE HUMANIDADES / FACULTAD DE ECONOMÍA,SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"EDUCA MATES FUNDATION, A.C.",SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"CENTRO PRO EDUCACION E INVESTIGACION CIENTIFICA, A.C.",SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"FUNDACIÓN MEXICANA DEL CORAZÓN, A.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
REFUGIA CENTRO PARA LA CONSERVACION DE LA ECOBIODIVERSIDAD A.C.,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO / COORDINACION DE HUMANIDADES / FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
EL COLEGIO DE TLAXCALA AC,SERVICIOS EDUCATIVOS,TLAXCALA
PLATAFORMA TECNOLOGICA MEXICANA PARA LA INNOVACION AC,OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
KLAYWARE S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
COMBUSTIBLES ECOLÓGICOS DE OCCIDENTE S A P I DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",JALISCO
CEREALES Y PASTAS SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
"INSTITUTO PANVASCULAR DE OCCIDENTE, S.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,JALISCO
"INNOVACIÓN BIOTECNOLÓGICA PARA DESARROLLOS DE ÁREA NACIONALES, ASOCIACIÓN CIVIL",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,VERACRUZ
GOBIERNO DEL ESTADO DE BAJA CALIFORNIA / PRESIDENCIA MUNICIPAL TECATE,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,BAJA CALIFORNIA
INSTAMET S DE RL DE CV,CONSTRUCCION,COAHUILA
GOBIERNO DEL ESTADO DE JALISCO / INSTITUTO DE MOVILIDAD Y TRANSPORTE DEL ESTADO DE JALISCO,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,JALISCO
GEOSIT S.A DE C.V,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
CONSULTORIA ESTRATEGICA DE TECNOLOGIA DE INFORMACION S.A. DE C.V.,SERVICIOS DE APOYO A LOS NEGOCIOS Y MANEJO DE DESECHOS Y SERVICIOS DE REMEDIACION,DISTRITO FEDERAL
PIELES Y DERIVADOS INTERNACIONALES SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
QUANTRISK SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
MANUFACTURAS METALICAS TIZAYUCA S.A DE C.V,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
"SOCIEDAD PARA EL ESTUDIO DE LOS RECURSOS BIOTICOS DE OAXACA, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,OAXACA
"GOBIERNO DEL ESTADO DE QUERETARO / CONSEJO DE CIENCIA Y TECNOLOGIA DEL ESTADO DE QUERETARO / JARDÍN BOTÁNICO REGIONAL DE CADEREYTA ""ING. MANUEL GONZÁLEZ DE COSÍO""",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERETARO
INGENIERÍA ELÉCTRICA Y PROYECTOS DE ENERGÍAS RENOVABLES S.A. DE C.V.,CONSTRUCCION,SAN LUIS POTOSI
JM RESEARCH SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MORELOS
ENERGYZA DE MEXICO SA  DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
MAGNEV TECHNOLOGY S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,PUEBLA
KUNST FARMA SA DE CV,COMERCIO AL POR MAYOR,DISTRITO FEDERAL
GRUPO AGROINDUSTRIAL LAS CAMPIÑAS S.P.R. DE R.L.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,CHIAPAS
"PROMOSERVICIOS DE SALUD, SA DE CV",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,VERACRUZ
PTM PACS Y TELERADIOLOGIA DE MEXICO SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CAPITULO MEXICO DEL COLEGIO AMERICANO DE CIRUJANOS, A.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
"FUNDACION CLINICA MEDICA SUR, A.C.",SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
PARQUE CIENTIFICO TECNOLOGICO DE YUCATAN AC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,YUCATAN
SUEÑOS Y QUIMERAS SC,SERVICIOS DE ESPARCIMIENTO CULTURALES Y DEPORTIVOS Y OTROS SERVICIOS RECREATIVOS,DISTRITO FEDERAL
CEMEX CENTRAL SA. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
COLEGIO DE INGENIEROS PETROLEROS DE MEXICO A. C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
OPERADORA ECOBOUTIQUE S. A. DE C. V,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUINTANA ROO
TECNOLÓGICO NACIONAL DE MÉXICO / INSTITUTO TECNOLÓGICO DE AGUASCALIENTES,SERVICIOS EDUCATIVOS,AGUASCALIENTES
TECNOLÓGICO NACIONAL DE MÉXICO,SERVICIOS EDUCATIVOS,DISTRITO FEDERAL
"BARRA MEXICANA, COLEGIO DE ABOGADOS, A.C.",OTROS SERVICIOS EXCEPTO ACTIVIDADES DEL GOBIERNO,DISTRITO FEDERAL
"MICROINFORMATICA GERENCIAL, S.A. DE  C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
SOMA ESTRATEGIA SOCIOAMBIENTAL S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
CAPRICORNIO FREIGHT CARRIERS S.A. DE C.V.,TRANSPORTES CORREOS Y ALMACENAMIENTO,GUANAJUATO
UNIVERSIDAD TECNOLOGICA DE BAHIA DE BANDERAS,SERVICIOS EDUCATIVOS,NAYARIT
PESCADOS Y MARISCOS PENINSULARES S.P.R. DE R.L.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,QUINTANA ROO
"ILUSTRE ACADEMIA IBEROAMERICANA DE DOCTORES, A.C.",SERVICIOS EDUCATIVOS,MICHOACAN 
CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL INSTITUTO POLITÉCNICO NACIONAL. / UNIDAD DE GENÓMICA AVANZADA,SERVICIOS EDUCATIVOS,GUANAJUATO
UNIVERSIDAD DE GUADALAJARA,SERVICIOS EDUCATIVOS,JALISCO
"UNIVERSIDAD CUAUHTEMOC PLANTEL AGUASCALIENTES, S.C.",SERVICIOS EDUCATIVOS,AGUASCALIENTES
UNIVERSIDAD DE CIENCIAS Y ARTES DE CHIAPAS,SERVICIOS EDUCATIVOS,CHIAPAS
LICORERA OAXAQUEÑA SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",OAXACA
UNIVERSIDAD LA SALLE DE PACHUCA AC,SERVICIOS EDUCATIVOS,HIDALGO
ADVANCED MECHSYS S DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
UNIVERSIDAD POPULAR DE LA CHONTALPA,SERVICIOS EDUCATIVOS,TABASCO
UNIVERSIDAD TECNOLOGICA DE TECAMAC,SERVICIOS EDUCATIVOS,ESTADO DE MEXICO
"PROBIOMED, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
BATZ MEXICANA S.A. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,SAN LUIS POTOSI
KRYZCOM SOCIEDAD ANONIMA DE CAPITAL VARIABLE,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DURANGO
"ASOCIACION DE INGENIEROS DE MINAS, METALURGISTAS Y GEOLOGOS DE MEXICO, A.C.",MINERIA,DISTRITO FEDERAL
GROBER LEON SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",GUANAJUATO
INFORMATICA INTEGRAL EMPRESARIAL S.A. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
IPSOBOX SA DE CV,INFORMACION EN MEDIOS MASIVOS,GUANAJUATO
TECNOLÓGICO NACIONAL DE MÉXICO / INSTITUTO TECNOLÓGICO DE CIUDAD VICTORIA,SERVICIOS EDUCATIVOS,TAMAULIPAS
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
INSTITUTO MEXICANO DEL PETROLEO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"INVESTIGACIONES Y ESTUDIOS SUPERIORES SC (UNIVERSIDAD ANÁHUAC, MÉXICO NORTE)",SERVICIOS EDUCATIVOS,ESTADO DE MEXICO
COPILOTO SATELITAL S. A. DE C. V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,DISTRITO FEDERAL
"AGROPRODUCTOS Y SERVICIOS DE SINALOA, S.A. DE C.V.","INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",SINALOA
SOCIAL NETWORK AND MARKETING IDEAS S.A DE C.V.,INFORMACION EN MEDIOS MASIVOS,DISTRITO FEDERAL
CENTRO DE INVESTIGACIÓN  Y ANALISIS  DEL TERRITORIO S.A DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,QUERETARO
GATE GOURMET & MAASA MEXICO S DE RL DE CV,SERVICIOS DE ALOJAMIENTO TEMPORAL Y DE PREPARACION DE ALIMENTOS Y BEBIDAS,DISTRITO FEDERAL
CVM SERVICIOS INDUSTRIALES DE SALTILLO S. DE R.L. DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,COAHUILA
CONSTRUCTORA Y COMERCIALIZADORA TECNOLOGICA S.A. DE C.V.,CONSTRUCCION,COAHUILA
ONE-ZOO-FISH!!! S. A. DE C. V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
APLICACIONES SEMILLERAS DE SINALOA SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,SINALOA
"SERVICIOS SOFTWARE VENTAS Y MARKETING, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
TOTAL HAPPY FUTURE SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,ESTADO DE MEXICO
FONDO PARA LA SUPERACIÓN PROFESIONAL A.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,PUEBLA
LG ELECTRONICS MEXICALI S.A DE C.V.,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,BAJA CALIFORNIA
"MILAND STEEL SOLUTIONS SA DE CV					",INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,HIDALGO
LEARNING INGENIERIA S.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,AGUASCALIENTES
INNOVACION Y DESARROLLO DE BIOPRODUCTOS SA DE CV,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
CASAL'S INTERNACIONAL S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",JALISCO
WELLS COMMERCE GROUP,INDUSTRIA MANUFACTURERA MAQUINARÍA EQUIPO,ESTADO DE MEXICO
XOOCHSOFT S.A.P.I. DE C.V.,INFORMACION EN MEDIOS MASIVOS,DISTRITO FEDERAL
FIDEICOMISO FONDO PARA LA BIODIVERSIDAD,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,ESTADO DE MEXICO
LABORATORIO SANTGAR FORMULAS MAGISTRALES DE MEXICO SA DE CV,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",DISTRITO FEDERAL
RANCHO PRUNEDA S.P.R. DE R.L.,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,NUEVO LEON 
EXOVA DE MEXICO S DE RL DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
J.GARCIA COMERCIALIZACION Y SERVICIOS SA DE CV,COMERCIO AL POR MENOR,YUCATAN
ADMINISTRACION DE PROYECTOS Y SOLUCIONES TECNOLOGICAS SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TABASCO
AGRITECH NST SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,DISTRITO FEDERAL
CONSTRUCTORA MART S.A. DE C.V.,CONSTRUCCION,CHIHUAHUA
DOCENDUM-IT SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
MYR ORGANICS SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,SINALOA
IMPREGNACIONES ESPECIALES S.A. DE C.V.,"INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",CHIHUAHUA
GRUPO CRONOF S.A.P.I. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
BIOQUALITUM SA DE CV,AGRICULTURA GANADERIA APROVECHAMIENTO FORESTAL PESCA Y CAZA,GUANAJUATO
"DYNASOL ELASTOMEROS, S.A. DE C.V.","INDUSTRIA MANUFACTURERA DE MADERA, PAPEL, DERIVADOS DEL PETRÓLEO E INDUSTRIA QUÍMICA",TAMAULIPAS
"FUNDACION HERDEZ, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
TECH4 SA DE CV,CONSTRUCCION,QUERETARO
AGROCONSULTORES PARA EL DESARROLLO INTEGRAL DEL CAMPO MEXICANO CONDECAM SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
"CENTRO DE INNOVACION TECNOLOGICA RFID, S.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,ESTADO DE MEXICO
"INTRACOMPUTERS, SA DE CV",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
IDEA INVESTIGACION DESARROLLO E INNOVACION SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,NUEVO LEON 
ESPECIALISTAS EN DESARROLLO DE PROCESOS ALIMENTARIOS S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NUEVO LEON 
VIVE SIN GLUTEN S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",JALISCO
OCEANOGRAFIA Y DESARROLLO COSTERO SOCIEDAD ANONIMA DE CAPITAL VARIABLE,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,BAJA CALIFORNIA SUR 
CONSULTORES EN SISTEMAS SOFTWARE SC,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TAMAULIPAS
ALTERNATIVA ALIMENTARIA S.A. DE C.V.,"INDUSTRIA MANUFACTURERA ALIMENTARIA, TABACO, BEBIDAS Y FABRICACIÓN  DE TEXTILES",NUEVO LEON 
CENTRO IMPULSOR DE PROYECTOS DE DESARROLLO CIMPRODE SA DE CV,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,DISTRITO FEDERAL
COINMEX IMPORTACIONES SA DE CV,COMERCIO AL POR MENOR,DISTRITO FEDERAL
LABORATORIOS BIOSCIENTIA SA DE CV,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,DISTRITO FEDERAL
"INGENIERÍA Y GESTIÓN AMBIENTAL DE MÉXICO, S.A. DE C.V.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,AGUASCALIENTES
NANO COATING TECHNOLOGIES SA DE CV,CONSTRUCCION,DISTRITO FEDERAL
"TVMOS, SA DE CV",INFORMACION EN MEDIOS MASIVOS,GUANAJUATO
UTOPIA GREENTECH S. DE R.L. DE C.V.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,HIDALGO
SERVICIOS Y ESTUDIOS PARA TRANSPORTE INNOVADOR Y MOVILIDAD S.A. DE C.V.,TRANSPORTES CORREOS Y ALMACENAMIENTO,DISTRITO FEDERAL
