Nombre de la Institución o Empresa,Sector,Entidad Federativa
INSTITUTO MEXICANO DEL PETROLEO,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEARES,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,MÉXICO
"CENTRO DEL CAMBIO GLOBAL Y LA SUSTENTABILIDAD EN EL SURESTE, A.C.",SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,TABASCO
CENTRO MEDICO NACIONAL 20 DE NOVIEMBRE,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
CENTRO DE ESTUDIOS SOCIALES Y DE OPINION PUBLICA,ACTIVIDADES DEL GOBIERNO Y DE ORGANISMOS INTERNACIONALES Y EXTRATERRITORIALES,CIUDAD DE MÉXICO
EL COLEGIO DE TAMAULIPAS,SERVICIOS EDUCATIVOS,TAMAULIPAS
HOSPITAL INFANTIL DE MEXICO FEDERICO GOMEZ,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE CIENCIAS PENALES,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
HOSPITAL GENERAL DR. MANUEL GEA GONZALEZ,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
CENTRO DE VALOR AGREGADO LAGOS DE MORENO A.C.,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,JALISCO
EL COLEGIO DE JALISCO AC,SERVICIOS EDUCATIVOS,JALISCO
INSTITUTO NACIONAL DE PERINATOLOGIA ISIDRO ESPINOSA DE LOS REYES,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE PEDIATRIA,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE PSIQUIATRIA RAMON DE LA FUENTE MUÑIZ,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE GERIATRIA,SERVICIOS PROFESIONALES CIENTIFICOS Y TECNICOS,CIUDAD DE MÉXICO
HOSPITAL JUAREZ DE MEXICO,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,CIUDAD DE MÉXICO
HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE OAXACA,SERVICIOS DE SALUD Y DE ASISTENCIA SOCIAL,OAXACA
"ASOCIACION DE INGENIEROS PETROLEROS DE MEXICO, A.C.",NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
ASOCIACIÓN MEXICANA DE PSICOLOGÍA Y DESARROLLO COMUNITARIO,NO APLICA A PARTIR DE SEPTIEMBRE 2016,MICHOACÁN DE OCAMPO
COMISIÓN DE SALUD FRONTERIZA MÉXICO ESTADOS UNIDOS,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CHIHUAHUA
INSTITUTO NACIONAL DE PESCA,NO APLICA A PARTIR DE SEPTIEMBRE 2016,CIUDAD DE MÉXICO
INSTITUTO NACIONAL DE SALUD PUBLICA,NO APLICA A PARTIR DE SEPTIEMBRE 2016,MORELOS
"""ALERTICA"" SA DE CV","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",MÉXICO
"""SERVICIOS Y ASESORIAS INTEGRALES EN LA INDUSTRIA PETROLERA ALEXA"" S.A. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",TABASCO
0G S.A DE C.V.,INDUSTRIAS MANUFACTURERAS,YUCATÁN
1-2-3 PIÑATAS DE SAN LUIS S. DE R.L. DE C.V.,INDUSTRIAS MANUFACTURERAS,SAN LUIS POTOSÍ
201 OFICIAL S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,CIUDAD DE MÉXICO
310MED APLICACIONES TECNOLOGICAS SA DE CV,"SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",SONORA
3A INNOVATIONS CARE HEALT S DE RL DE CV,INDUSTRIAS MANUFACTURERAS,JALISCO
"3DRX, S.A.P.I. DE C.V.","SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS",CIUDAD DE MÉXICO
3G BIODESARROLLO S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,JALISCO
3G HERRAMIENTAS ESPECIALES SA DE CV,INDUSTRIAS MANUFACTURERAS,NUEVO LEÓN
3G HERRAMIENTAS SA DE CV,INDUSTRIAS MANUFACTURERAS,NUEVO LEÓN
4M CALIDAD CREATIVA S.A. DE C.V.,INDUSTRIAS MANUFACTURERAS,HIDALGO
